Classifier,Avg_AUC,Avg_Acc,Number_of_Features,Features,AUC_each_fold,Acc_each_fold,TPR_multiclass_each_fold,FPR_multiclass_each_fold,Best_Hyperparameters
       0.62135922, 0.80582524, 0.80582524, 0.96116505, 1.        ])]],[[array([0.        , 0.16101695, 0.33050847, 0.53389831, 1.        ]), array([0.        , 0.11711712, 0.31531532, 0.51351351, 1.        ]), array([0.        , 0.34782609, 0.69565217, 0.7826087 , 1.        ])], [array([0.        , 0.20338983, 0.27118644, 0.37288136, 0.39830508,
       0.40677966, 0.58474576, 0.81355932, 0.95762712, 1.        ]), array([0.        , 0.16363636, 0.22727273, 0.31818182, 0.34545455,
       0.35454545, 0.54545455, 0.79090909, 0.95454545, 1.        ]), array([0.        , 0.36363636, 0.40909091, 0.59090909, 0.68181818,
       0.68181818, 0.86363636, 0.86363636, 1.        , 1.        ])], [array([0.        , 0.30508475, 0.36440678, 0.44915254, 0.46610169,
       0.46610169, 0.65254237, 0.84745763, 0.98305085, 1.        ]), array([0.        , 0.21818182, 0.27272727, 0.38181818, 0.4       ,
       0.40909091, 0.61818182, 0.82727273, 0.98181818, 1.        ]), array([0.        , 0.54545455, 0.59090909, 0.68181818, 0.68181818,
       0.72727273, 0.95454545, 0.95454545, 1.        , 1.        ])], [array([0.        , 0.11111111, 0.21367521, 0.47008547, 0.52136752,
       0.74358974, 0.94871795, 0.97435897, 0.99145299, 1.        ]), array([0.        , 0.10810811, 0.18018018, 0.43243243, 0.46846847,
       0.71171171, 0.92792793, 0.95495495, 1.        , 1.        ]), array([0.        , 0.22727273, 0.40909091, 0.5       , 0.68181818,
       0.81818182, 0.81818182, 0.81818182, 0.95454545, 1.        ])], [array([0.        , 0.13675214, 0.4017094 , 0.56410256, 0.63247863,
       0.65811966, 0.82051282, 0.82905983, 0.96581197, 1.        ]), array([0.        , 0.13513514, 0.40540541, 0.53153153, 0.57657658,
       0.62162162, 0.8018018 , 0.8018018 , 0.95495495, 1.        ]), array([0.        , 0.13636364, 0.18181818, 0.5       , 0.72727273,
       0.81818182, 0.86363636, 0.90909091, 0.95454545, 1.        ])]],{'random_state': 0}
Neural Network,0.5121811740122763,0.6453079365079366,2,arousal(t);arousal_groups(t),[[0.5995762711864407, 0.7189189189189189, 0.3064584212747995], [0.48970944309927356, 0.7539393939393939, 0.3188437775816417], [0.44673123486682814, 0.8278787878787879, 0.28067078552515445], [0.3974358974358974, 0.6933719433719434, 0.40975286849073256], [0.36752136752136755, 0.5546975546975547, 0.5172109443954104]],[0.6825396825396826, 0.608, 0.608, 0.728, 0.6],[[array([0.   , 0.125, 0.25 , 0.5  , 0.625, 0.75 , 0.75 , 0.75 , 0.875,
       1.   ]), array([0.        , 0.46666667, 0.6       , 0.6       , 0.6       ,
       0.66666667, 0.8       , 0.86666667, 0.93333333, 1.        ]), array([0.        , 0.11650485, 0.21359223, 0.24271845, 0.24271845,
       0.2815534 , 0.49514563, 0.68932039, 0.90291262, 1.        ])], [array([0.        , 0.14285714, 0.14285714, 0.28571429, 0.42857143,
       0.42857143, 0.71428571, 0.71428571, 1.        , 1.        ]), array([0.        , 0.46666667, 0.53333333, 0.73333333, 0.8       ,
       0.8       , 0.93333333, 0.93333333, 1.        , 1.        ]), array([0.        , 0.16504854, 0.23300971, 0.32038835, 0.33980583,
       0.34951456, 0.53398058, 0.7961165 , 0.95145631, 1.        ])], [array([0.        , 0.        , 0.        , 0.28571429, 0.28571429,
       0.42857143, 0.85714286, 0.85714286, 1.        , 1.        ]), array([0.        , 0.8       , 0.86666667, 0.86666667, 0.86666667,
       0.86666667, 1.        , 1.        , 1.        , 1.        ]), array([0.        , 0.23300971, 0.29126214, 0.38834951, 0.40776699,
       0.40776699, 0.60194175, 0.82524272, 0.98058252, 1.        ])], [array([0.   , 0.25 , 0.25 , 0.25 , 0.375, 0.625, 0.625, 0.625, 1.   ,
       1.   ]), array([0.        , 0.21428571, 0.5       , 0.64285714, 0.85714286,
       0.92857143, 0.92857143, 0.92857143, 0.92857143, 1.        ]), array([0.        , 0.09708738, 0.17475728, 0.44660194, 0.47572816,
       0.7184466 , 0.95145631, 0.98058252, 1.        , 1.        ])], [array([0.   , 0.125, 0.125, 0.25 , 0.375, 0.625, 0.75 , 0.75 , 0.875,
       1.   ]), array([0.        , 0.14285714, 0.21428571, 0.64285714, 0.92857143,
       0.92857143, 0.92857143, 1.        , 1.        , 1.        ]), array([0.        , 0.13592233, 0.42718447, 0.55339806, 0.59223301,
       0.62135922, 0.80582524, 0.80582524, 0.96116505, 1.        ])]],[[array([0.        , 0.16101695, 0.26271186, 0.28813559, 0.28813559,
       0.33050847, 0.53389831, 0.71186441, 0.90677966, 1.        ]), array([0.        , 0.11711712, 0.21621622, 0.26126126, 0.27027027,
       0.31531532, 0.51351351, 0.69369369, 0.9009009 , 1.        ]), array([0.        , 0.34782609, 0.47826087, 0.56521739, 0.60869565,
       0.69565217, 0.7826087 , 0.82608696, 0.91304348, 1.        ])], [array([0.        , 0.20338983, 0.27118644, 0.37288136, 0.39830508,
       0.40677966, 0.58474576, 0.81355932, 0.95762712, 1.        ]), array([0.        , 0.16363636, 0.22727273, 0.31818182, 0.34545455,
       0.35454545, 0.54545455, 0.79090909, 0.95454545, 1.        ]), array([0.        , 0.36363636, 0.40909091, 0.59090909, 0.68181818,
       0.68181818, 0.86363636, 0.86363636, 1.        , 1.        ])], [array([0.        , 0.30508475, 0.36440678, 0.44915254, 0.46610169,
       0.46610169, 0.65254237, 0.84745763, 0.98305085, 1.        ]), array([0.        , 0.21818182, 0.27272727, 0.38181818, 0.4       ,
       0.40909091, 0.61818182, 0.82727273, 0.98181818, 1.        ]), array([0.        , 0.54545455, 0.59090909, 0.68181818, 0.68181818,
       0.72727273, 0.95454545, 0.95454545, 1.        , 1.        ])], [array([0.        , 0.11111111, 0.21367521, 0.47008547, 0.52136752,
       0.74358974, 0.94871795, 0.97435897, 0.99145299, 1.        ]), array([0.        , 0.10810811, 0.18018018, 0.43243243, 0.46846847,
       0.71171171, 0.92792793, 0.95495495, 1.        , 1.        ]), array([0.        , 0.22727273, 0.40909091, 0.5       , 0.68181818,
       0.81818182, 0.81818182, 0.81818182, 0.95454545, 1.        ])], [array([0.        , 0.13675214, 0.4017094 , 0.56410256, 0.63247863,
       0.65811966, 0.82051282, 0.82905983, 0.96581197, 1.        ]), array([0.        , 0.13513514, 0.40540541, 0.53153153, 0.57657658,
       0.62162162, 0.8018018 , 0.8018018 , 0.95495495, 1.        ]), array([0.        , 0.13636364, 0.18181818, 0.5       , 0.72727273,
       0.81818182, 0.86363636, 0.90909091, 0.95454545, 1.        ])]],{'random_state': 0}
AdaBoost,0.5122779253092229,0.6405460317460319,2,arousal(t);arousal_groups(t),[[0.6091101694915254, 0.7045045045045045, 0.3127902068383284], [0.48970944309927356, 0.7539393939393939, 0.3188437775816417], [0.44673123486682814, 0.8278787878787879, 0.28067078552515445], [0.3974358974358974, 0.6933719433719434, 0.40975286849073256], [0.36752136752136755, 0.5546975546975547, 0.5172109443954104]],[0.6587301587301587, 0.608, 0.608, 0.728, 0.6],[[array([0.   , 0.125, 0.375, 0.5  , 0.625, 0.625, 0.75 , 0.75 , 0.875,
       1.   ]), array([0.        , 0.46666667, 0.46666667, 0.46666667, 0.6       ,
       0.73333333, 0.8       , 0.86666667, 0.93333333, 1.        ]), array([0.        , 0.11650485, 0.14563107, 0.14563107, 0.24271845,
       0.45631068, 0.49514563, 0.68932039, 0.90291262, 1.        ])], [array([0.        , 0.14285714, 0.14285714, 0.28571429, 0.42857143,
       0.42857143, 0.71428571, 0.71428571, 1.        , 1.        ]), array([0.        , 0.46666667, 0.53333333, 0.73333333, 0.8       ,
       0.8       , 0.93333333, 0.93333333, 1.        , 1.        ]), array([0.        , 0.16504854, 0.23300971, 0.32038835, 0.33980583,
       0.34951456, 0.53398058, 0.7961165 , 0.95145631, 1.        ])], [array([0.        , 0.        , 0.        , 0.28571429, 0.28571429,
       0.42857143, 0.85714286, 0.85714286, 1.        , 1.        ]), array([0.        , 0.8       , 0.86666667, 0.86666667, 0.86666667,
       0.86666667, 1.        , 1.        , 1.        , 1.        ]), array([0.        , 0.23300971, 0.29126214, 0.38834951, 0.40776699,
       0.40776699, 0.60194175, 0.82524272, 0.98058252, 1.        ])], [array([0.   , 0.25 , 0.25 , 0.25 , 0.375, 0.625, 0.625, 0.625, 1.   ,
       1.   ]), array([0.        , 0.21428571, 0.5       , 0.64285714, 0.85714286,
       0.92857143, 0.92857143, 0.92857143, 0.92857143, 1.        ]), array([0.        , 0.09708738, 0.17475728, 0.44660194, 0.47572816,
       0.7184466 , 0.95145631, 0.98058252, 1.        , 1.        ])], [array([0.   , 0.125, 0.125, 0.25 , 0.375, 0.625, 0.75 , 0.75 , 0.875,
       1.   ]), array([0.        , 0.14285714, 0.21428571, 0.64285714, 0.92857143,
       0.92857143, 0.92857143, 1.        , 1.        , 1.        ]), array([0.        , 0.13592233, 0.42718447, 0.55339806, 0.59223301,
       0.62135922, 0.80582524, 0.80582524, 0.96116505, 1.        ])]],[[array([0.        , 0.16101695, 0.18644068, 0.18644068, 0.28813559,
       0.49152542, 0.53389831, 0.71186441, 0.90677966, 1.        ]), array([0.        , 0.11711712, 0.16216216, 0.17117117, 0.27027027,
       0.46846847, 0.51351351, 0.69369369, 0.9009009 , 1.        ]), array([0.        , 0.34782609, 0.43478261, 0.47826087, 0.60869565,
       0.69565217, 0.7826087 , 0.82608696, 0.91304348, 1.        ])], [array([0.        , 0.20338983, 0.27118644, 0.37288136, 0.39830508,
       0.40677966, 0.58474576, 0.81355932, 0.95762712, 1.        ]), array([0.        , 0.16363636, 0.22727273, 0.31818182, 0.34545455,
       0.35454545, 0.54545455, 0.79090909, 0.95454545, 1.        ]), array([0.        , 0.36363636, 0.40909091, 0.59090909, 0.68181818,
       0.68181818, 0.86363636, 0.86363636, 1.        , 1.        ])], [array([0.        , 0.30508475, 0.36440678, 0.44915254, 0.46610169,
       0.46610169, 0.65254237, 0.84745763, 0.98305085, 1.        ]), array([0.        , 0.21818182, 0.27272727, 0.38181818, 0.4       ,
       0.40909091, 0.61818182, 0.82727273, 0.98181818, 1.        ]), array([0.        , 0.54545455, 0.59090909, 0.68181818, 0.68181818,
       0.72727273, 0.95454545, 0.95454545, 1.        , 1.        ])], [array([0.        , 0.11111111, 0.21367521, 0.47008547, 0.52136752,
       0.74358974, 0.94871795, 0.97435897, 0.99145299, 1.        ]), array([0.        , 0.10810811, 0.18018018, 0.43243243, 0.46846847,
       0.71171171, 0.92792793, 0.95495495, 1.        , 1.        ]), array([0.        , 0.22727273, 0.40909091, 0.5       , 0.68181818,
       0.81818182, 0.81818182, 0.81818182, 0.95454545, 1.        ])], [array([0.        , 0.13675214, 0.4017094 , 0.56410256, 0.63247863,
       0.65811966, 0.82051282, 0.82905983, 0.96581197, 1.        ]), array([0.        , 0.13513514, 0.40540541, 0.53153153, 0.57657658,
       0.62162162, 0.8018018 , 0.8018018 , 0.95495495, 1.        ]), array([0.        , 0.13636364, 0.18181818, 0.5       , 0.72727273,
       0.81818182, 0.86363636, 0.90909091, 0.95454545, 1.        ])]],{'random_state': 0}
Naive Bayes,0.508632973147411,0.6468952380952382,2,arousal(t);arousal_groups(t),[[0.5286016949152542, 0.6834834834834835, 0.35964542000844235], [0.48970944309927356, 0.7539393939393939, 0.3188437775816417], [0.44673123486682814, 0.8278787878787879, 0.28067078552515445], [0.3974358974358974, 0.6933719433719434, 0.40975286849073256], [0.36752136752136755, 0.5546975546975547, 0.5172109443954104]],[0.6904761904761905, 0.608, 0.608, 0.728, 0.6],[[array([0.   , 0.125, 0.25 , 0.5  , 0.5  , 0.625, 0.625, 0.75 , 0.875,
       1.   ]), array([0.        , 0.13333333, 0.6       , 0.6       , 0.73333333,
       0.8       , 0.86666667, 0.86666667, 0.93333333, 1.        ]), array([0.        , 0.09708738, 0.21359223, 0.24271845, 0.45631068,
       0.49514563, 0.68932039, 0.68932039, 0.90291262, 1.        ])], [array([0.        , 0.14285714, 0.14285714, 0.28571429, 0.42857143,
       0.42857143, 0.71428571, 0.71428571, 1.        , 1.        ]), array([0.        , 0.46666667, 0.53333333, 0.73333333, 0.8       ,
       0.8       , 0.93333333, 0.93333333, 1.        , 1.        ]), array([0.        , 0.16504854, 0.23300971, 0.32038835, 0.33980583,
       0.34951456, 0.53398058, 0.7961165 , 0.95145631, 1.        ])], [array([0.        , 0.        , 0.        , 0.28571429, 0.28571429,
       0.42857143, 0.85714286, 0.85714286, 1.        , 1.        ]), array([0.        , 0.8       , 0.86666667, 0.86666667, 0.86666667,
       0.86666667, 1.        , 1.        , 1.        , 1.        ]), array([0.        , 0.23300971, 0.29126214, 0.38834951, 0.40776699,
       0.40776699, 0.60194175, 0.82524272, 0.98058252, 1.        ])], [array([0.   , 0.25 , 0.25 , 0.25 , 0.375, 0.625, 0.625, 0.625, 1.   ,
       1.   ]), array([0.        , 0.21428571, 0.5       , 0.64285714, 0.85714286,
       0.92857143, 0.92857143, 0.92857143, 0.92857143, 1.        ]), array([0.        , 0.09708738, 0.17475728, 0.44660194, 0.47572816,
       0.7184466 , 0.95145631, 0.98058252, 1.        , 1.        ])], [array([0.   , 0.125, 0.125, 0.25 , 0.375, 0.625, 0.75 , 0.75 , 0.875,
       1.   ]), array([0.        , 0.14285714, 0.21428571, 0.64285714, 0.92857143,
       0.92857143, 0.92857143, 1.        , 1.        , 1.        ]), array([0.        , 0.13592233, 0.42718447, 0.55339806, 0.59223301,
       0.62135922, 0.80582524, 0.80582524, 0.96116505, 1.        ])]],[[array([0.        , 0.10169492, 0.26271186, 0.28813559, 0.49152542,
       0.53389831, 0.71186441, 0.71186441, 0.90677966, 1.        ]), array([0.        , 0.0990991 , 0.21621622, 0.26126126, 0.45945946,
       0.5045045 , 0.68468468, 0.69369369, 0.9009009 , 1.        ]), array([0.        , 0.13043478, 0.47826087, 0.56521739, 0.65217391,
       0.73913043, 0.7826087 , 0.82608696, 0.91304348, 1.        ])], [array([0.        , 0.20338983, 0.27118644, 0.37288136, 0.39830508,
       0.40677966, 0.58474576, 0.81355932, 0.95762712, 1.        ]), array([0.        , 0.16363636, 0.22727273, 0.31818182, 0.34545455,
       0.35454545, 0.54545455, 0.79090909, 0.95454545, 1.        ]), array([0.        , 0.36363636, 0.40909091, 0.59090909, 0.68181818,
       0.68181818, 0.86363636, 0.86363636, 1.        , 1.        ])], [array([0.        , 0.30508475, 0.36440678, 0.44915254, 0.46610169,
       0.46610169, 0.65254237, 0.84745763, 0.98305085, 1.        ]), array([0.        , 0.21818182, 0.27272727, 0.38181818, 0.4       ,
       0.40909091, 0.61818182, 0.82727273, 0.98181818, 1.        ]), array([0.        , 0.54545455, 0.59090909, 0.68181818, 0.68181818,
       0.72727273, 0.95454545, 0.95454545, 1.        , 1.        ])], [array([0.        , 0.11111111, 0.21367521, 0.47008547, 0.52136752,
       0.74358974, 0.94871795, 0.97435897, 0.99145299, 1.        ]), array([0.        , 0.10810811, 0.18018018, 0.43243243, 0.46846847,
       0.71171171, 0.92792793, 0.95495495, 1.        , 1.        ]), array([0.        , 0.22727273, 0.40909091, 0.5       , 0.68181818,
       0.81818182, 0.81818182, 0.81818182, 0.95454545, 1.        ])], [array([0.        , 0.13675214, 0.4017094 , 0.56410256, 0.63247863,
       0.65811966, 0.82051282, 0.82905983, 0.96581197, 1.        ]), array([0.        , 0.13513514, 0.40540541, 0.53153153, 0.57657658,
       0.62162162, 0.8018018 , 0.8018018 , 0.95495495, 1.        ]), array([0.        , 0.13636364, 0.18181818, 0.5       , 0.72727273,
       0.81818182, 0.86363636, 0.90909091, 0.95454545, 1.        ])]],{'random_state': 0}
QDA,0.5046771996864469,0.6151492063492063,2,arousal(t);arousal_groups(t),[[0.43114406779661013, 0.681081081081081, 0.40016884761502747], [0.48970944309927356, 0.7539393939393939, 0.3188437775816417], [0.44673123486682814, 0.8278787878787879, 0.28067078552515445], [0.3974358974358974, 0.6933719433719434, 0.40975286849073256], [0.36752136752136755, 0.5546975546975547, 0.5172109443954104]],[0.5317460317460317, 0.608, 0.608, 0.728, 0.6],[[array([0.   , 0.125, 0.25 , 0.25 , 0.5  , 0.5  , 0.625, 0.75 , 0.875,
       1.   ]), array([0.        , 0.13333333, 0.6       , 0.73333333, 0.73333333,
       0.8       , 0.86666667, 0.93333333, 0.93333333, 1.        ]), array([0.        , 0.09708738, 0.21359223, 0.42718447, 0.45631068,
